slug,filename,source_url
ascot-vale,ascot-vale.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/ASCOT-VALE.jpg
bayside-saints,bayside-saints.png,https://aflvm.com.au/wp-content/uploads/2024/06/BAYSIDE-SAINTS.png
beaconsfield-superules,beaconsfield-superules.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/Beaconsfield-Superules.jpg
box-hill-north,box-hill-north.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/BOX-HILL-NORTH.jpg
brunswick,brunswick.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/BRUNSWICK.jpg
carrum-cowboys,carrum-cowboys.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/Carrum-Cowboys.jpg
craigieburn,craigieburn.png,https://aflvm.com.au/wp-content/uploads/2024/06/Craigieburn.png
cranbourne-districts,cranbourne-districts.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/CRANBOURNE.jpg
darebin,darebin.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/Falcons-Logo-full-colour-500w-1.jpg
de-la-salle,de-la-salle.jpg,https://aflvm.com.au/wp-content/uploads/2025/01/dls.jpg
diamond-valley,diamond-valley.png,https://aflvm.com.au/wp-content/uploads/2025/02/Diamond-Valley.png
dingley-supers,dingley-supers.png,https://aflvm.com.au/wp-content/uploads/2024/06/Dingley-Supers.png
eastern-warriors,eastern-warriors.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/warrior-logo-square.jpg
essendon-masters,essendon-masters.png,https://aflvm.com.au/wp-content/uploads/2024/06/ESSENDON-MASTERS.png
frankston-district-tigersharks,frankston-district-tigersharks.png,https://aflvm.com.au/wp-content/uploads/2024/06/FRANKSTON-DISTRICT-TIGERSHARKS.png
geelong,geelong.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/GEELONG.jpg
greenvale,greenvale.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/Greenvale-Football-Club.jpg
hillside-football-club,hillside-football-club.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/HILLSIDE-FOOTBALL-CLUB.jpg
laurimar-fc-supers,laurimar-fc-supers.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/Laurimar-FC-Supers.jpg
lilydale-football-club,lilydale-football-club.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/LILYDALE-FOOTBALL-CLUB.jpg
marcellin-bald-eagles,marcellin-bald-eagles.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/Marcellin-Bald-Eagles.jpg
mordialloc-superules,mordialloc-superules.webp,https://aflvm.com.au/wp-content/uploads/2024/06/mordysupers.webp
narre-warren,narre-warren.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/NARRE-WARREN-FOOTBALL-NETBALL-CLUB.jpg
newport-football-club,newport-football-club.png,https://aflvm.com.au/wp-content/uploads/2026/01/Newport-Football-Club.png
northern-districts,northern-districts.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/Northern-Districts-Super-Rules-FC.jpg
northside-lions-superules-football-club,northside-lions-superules-football-club.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/northside-lions-logo-765-x-536.jpg
old-paradians-football-club,old-paradians-football-club.jpg,https://aflvm.com.au/wp-content/uploads/2026/01/old-parade.jpg
parkdale-superules,parkdale-superules.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/PARKDALE-SUPERULES.jpg
vu-western-spurs,vu-western-spurs.png,https://aflvm.com.au/wp-content/uploads/2021/03/Spurs_LOGO_-PNG-2-POS-01-3.png
plenty-valley,plenty-valley.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/PLENTY-VALLEY.jpg
port-melbourne-colts,port-melbourne-colts.webp,https://aflvm.com.au/wp-content/uploads/2024/06/Colts-Logo.webp
peninsula-raiders,peninsula-raiders.png,https://aflvm.com.au/wp-content/uploads/2024/06/PENINSULA-RAIDERS.png
rupertswood-football-club,rupertswood-football-club.png,https://aflvm.com.au/wp-content/uploads/2026/01/Rupertswood-Football-Club.png
south-yarra,south-yarra.webp,https://aflvm.com.au/wp-content/uploads/2024/06/SOUTH-YARRA.webp
sunbury-lions-master-womens,sunbury-lions-master-womens.png,https://aflvm.com.au/wp-content/uploads/2026/01/Sunbury-Lions-Master-Women.png
werribee-masters-football-club,werribee-masters-football-club.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/werribeemastersfc.jpg
western-saints-superules-football-club,western-saints-superules-football-club.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/Western-Saints-Superules-Football-Club.jpg
whittlesea-superules-football-club,whittlesea-superules-football-club.jpg,https://aflvm.com.au/wp-content/uploads/2024/06/Whittlesea-Superules.jpg
williamstown,williamstown.png,https://aflvm.com.au/wp-content/uploads/2024/06/WILLIAMSTOWN.png
parkside-spurs,parkside-spurs.png,https://aflvm.com.au/wp-content/uploads/2024/06/spurs.png
